"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0x0882e930f93dca4ddb5ed9bd1e1883adb46bdd7cc75512da6dec3c619c52f54b","18739276","1724267899","2024-08-21 19:18:19","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xff4ec2057a4180a4cd18fdea144e53245e39869d","52,735","Swap UDT For UP"
"0x2dfa0b5137d6f3372d2c6a40f298be4401c5fa3639a6201ae24e86efe14329b9","18748881","1724287109","2024-08-22 00:38:29","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xd2bc5cb641ae6f7a880c3dd5aee0450b5210be23","460,087.790394820666868","Swap UDT For UP"
"0x971438a2ccc9dade625c0af1e849eff4c5eb1eb66d09d1a32bc7ed4a605a8a5f","18769269","1724327885","2024-08-22 11:58:05","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xde22de740609532fc0f48287b7f258776be814fd","4,061,698","Swap UDT For UP"
"0xecf2a31332b2cf4e5fcf368f80fb3f1c5820c935ef63f99d50907fc862623fdb","18786917","1724363181","2024-08-22 21:46:21","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xff9dfc6110def605eb08532b5232051a1fb1f12e","50,120","Swap UDT For UP"
"0xf81e5bd86319aa8422a16efefd426d27c9b3431cfd3179b957f92c365af5bc76","18788085","1724365517","2024-08-22 22:25:17","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x3bdbbe3abbe6f7f3f8fb9d0c2484c8ce8a76df60","150,064.5","Swap UDT For UP"
"0xcba302dca5c0580746fc4821a74c990a0ca64b1455ea2250a1b1cc492e467d4d","18789409","1724368165","2024-08-22 23:09:25","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x83540330a1a813ce878d1675d2a98c9b023dc69e","1,000","Swap UDT For UP"
"0xaea4216d501b95aef1cc0603a969273dfbaada18667af39ef91de1c1498c9dab","18789450","1724368247","2024-08-22 23:10:47","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x83540330a1a813ce878d1675d2a98c9b023dc69e","132,318","Swap UDT For UP"
"0x1941345192499b46bf467c6ef3ab5b024077980bd175e1383af386670682bc0e","18811151","1724411649","2024-08-23 11:14:09","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x4846162806b025dcd0759cacf9ec6f9474274282","13,030","Swap UDT For UP"
"0xbd283b655459dad20f0cdc9fb173e66c42c0dc491b03ed51d2873e7b9e1822b7","18867963","1724525273","2024-08-24 18:47:53","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x06217cd389fe0b598cfaade7e2e3c8a544cedad6","2,730","Swap UDT For UP"
"0xeac2bd8cbc9e74c8887e2855f021b930dd500cbe95c14261cb4062d7f80afebb","18870075","1724529497","2024-08-24 19:58:17","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xf1d3ae318edd8daa3bd97b24a6ccb6c3a8b581cf","57,400","Swap UDT For UP"
